GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
OsianClifford-20SoftwareJun1,com.qa.ims.controller,ItemController,81,31,0,2,23,9,6,4,6,3
OsianClifford-20SoftwareJun1,com.qa.ims.controller,OrderlineController,140,0,2,0,39,0,9,0,8,0
OsianClifford-20SoftwareJun1,com.qa.ims.controller,Action,116,0,2,0,20,0,6,0,5,0
OsianClifford-20SoftwareJun1,com.qa.ims.controller,CustomerController,2,105,0,2,1,29,1,7,1,6
OsianClifford-20SoftwareJun1,com.qa.ims.controller,OrderController,111,0,2,0,31,0,9,0,8,0
OsianClifford-20SoftwareJun1,com.qa.ims,Ims,268,0,21,0,67,0,21,0,7,0
OsianClifford-20SoftwareJun1,com.qa.ims,Runner,14,0,0,0,5,0,3,0,3,0
OsianClifford-20SoftwareJun1,com.qa.ims.persistence.dao,ItemDaoMysql,302,0,2,0,70,0,11,0,10,0
OsianClifford-20SoftwareJun1,com.qa.ims.persistence.dao,OrderlineDaoMysql,330,0,2,0,73,0,11,0,10,0
OsianClifford-20SoftwareJun1,com.qa.ims.persistence.dao,OrderDaoMysql,302,0,2,0,70,0,11,0,10,0
OsianClifford-20SoftwareJun1,com.qa.ims.persistence.dao,CustomerDaoMysql,301,0,2,0,70,0,11,0,10,0
OsianClifford-20SoftwareJun1,com.qa.ims.services,ItemServices,28,0,0,0,8,0,5,0,5,0
OsianClifford-20SoftwareJun1,com.qa.ims.services,OrderlineServices,28,0,0,0,8,0,5,0,5,0
OsianClifford-20SoftwareJun1,com.qa.ims.services,OrderServices,28,0,0,0,8,0,5,0,5,0
OsianClifford-20SoftwareJun1,com.qa.ims.services,CustomerServices,0,28,0,0,0,8,0,5,0,5
OsianClifford-20SoftwareJun1,com.qa.ims.persistence.domain,Orderline,270,0,46,0,69,0,38,0,15,0
OsianClifford-20SoftwareJun1,com.qa.ims.persistence.domain,Order,176,0,30,0,47,0,26,0,11,0
OsianClifford-20SoftwareJun1,com.qa.ims.persistence.domain,Domain,33,83,2,0,9,11,3,3,2,3
OsianClifford-20SoftwareJun1,com.qa.ims.persistence.domain,Item,0,176,0,30,0,48,0,26,0,11
OsianClifford-20SoftwareJun1,com.qa.ims.persistence.domain,Customer,0,176,0,30,0,48,0,26,0,11
OsianClifford-20SoftwareJun1,com.qa.ims.utils,Utils,17,0,0,0,4,0,4,0,4,0
